id,first_name,last_name,email,gender,experience_years,age,state,current_position,interest,university_quality,gpa,years_work_experience,years_education_experience,prior_degree_level,prior_degree_field,sat_percentile,gpa_percentile,individual_income_level,parental_education_level,disposable_income_for_university,international_candidate,number_of_dependents
1,Cynthia,Minton,cminton0@taobao.com,Female,23,46,California,K-12 Classroom Teacher,Inclusive & Special Education,Community College / 2-Year College,2.76,23,12,Master's Degree,Social Sciences,26,34,47940,Doctoral degree,8165,0,2
2,Kellby,Fiorentino,kfiorentino1@thetimes.co.uk,Female,1,29,Ohio,College Student (Non-Education Major),Edtech & Digital Learning,Private University (Nonselective),3.1,1,0,Bachelor's Degree,Education,50,38,19038,High school or below,4238,0,0
3,Shelby,Fellows,sfellows2@buzzfeed.com,Female,6,27,Indiana,School or District Leader,Literacy & Language Learning,Community College / 2-Year College,3.26,6,6,Master's Degree,Social Sciences,66,58,109310,Bachelor's degree,28999,0,2
4,Bethina,Briamo,bbriamo3@vistaprint.com,Female,1,22,Georgia,K-12 Classroom Teacher,Inclusive & Special Education,International Institution,3.05,1,1,Bachelor's Degree,Social Sciences,56,51,60146,Bachelor's degree,15219,0,0
5,Lesya,Bushen,lbushen4@archive.org,Female,14,43,California,K-12 Classroom Teacher,AI in Education,R1 Research University,3.34,14,10,Master's Degree,Education,99,71,81475,Bachelor's degree,26940,0,3
6,Beatrice,Matuszak,bmatuszak5@newsvine.com,Female,1,23,Arizona,Preservice Teacher / Education Student,Inclusive & Special Education,R1 Research University,3.22,1,1,Bachelor's Degree,Social Sciences,88,77,33935,Master's degree,7335,0,0
7,Correy,Hincks,chincks6@parallels.com,Female,15,48,Tennessee,K-12 Classroom Teacher,Literacy & Language Learning,Community College / 2-Year College,3.01,15,11,Associate Degree,STEM,57,42,47817,Doctoral degree,5613,0,3
8,Benton,Basnall,bbasnall7@google.it,Male,4,27,Michigan,After-school / Enrichment Educator,Edtech & Digital Learning,Liberal Arts College,3.23,4,2,Bachelor's Degree,Health / Nursing,81,72,31448,Bachelor's degree,6271,1,1
9,Matt,Janca,mjanca8@meetup.com,Female,0,23,California,K-12 Classroom Teacher,Inclusive & Special Education,R2 Research University,3.04,0,0,Master's Degree,Other,50,54,59602,Doctoral degree,11853,0,0
10,Whitney,Tofts,wtofts9@ftc.gov,Female,12,34,Florida,Instructional Coach,Inclusive & Special Education,Regional Public University,3.92,12,8,Bachelor's Degree,STEM,56,91,66679,Bachelor's degree,8553,0,2
11,Akim,Braikenridge,abraikenridgea@pbs.org,Female,15,40,New York,Preservice Teacher / Education Student,Social-Emotional Learning (SEL),Private University (Nonselective),3.0,15,1,Bachelor's Degree,Education,59,74,35453,Bachelor's degree,8811,0,0
12,Perceval,Nesterov,pnesterovb@globo.com,Female,0,25,Virginia,Preservice Teacher / Education Student,STEM Education,International Institution,3.39,0,0,Other / International Equivalency,STEM,71,56,23546,Doctoral degree,2547,0,1
13,Annalise,Wellan,awellanc@narod.ru,Female,19,44,New York,Teaching Assistant / Paraprofessional,Edtech & Digital Learning,Private University (Nonselective),3.35,19,4,Master's Degree,STEM,84,57,41718,Some college,5856,0,3
14,Manon,Baudains,mbaudainsd@state.gov,Female,13,44,Ohio,Teaching Assistant / Paraprofessional,Leadership & School Improvement,Private University (Nonselective),2.9,13,1,Bachelor's Degree,Education,57,40,26665,Bachelor's degree,3372,0,1
15,Marchall,Mustarde,mmustardee@purevolume.com,Male,2,22,Oregon,Instructional Coach,Leadership & School Improvement,R2 Research University,3.76,2,2,Bachelor's Degree,Education,49,67,58049,Doctoral degree,10429,0,0
16,Inglebert,McVane,imcvanef@sogou.com,Male,2,25,Illinois,Higher Education Instructor,Literacy & Language Learning,Regional Public University,3.92,2,2,Master's Degree,Business,75,63,89532,Some college,10344,0,0
17,Dore,Assel,dasselg@google.cn,Male,6,27,Georgia,Education Nonprofit Staff,Literacy & Language Learning,R2 Research University,3.22,6,0,Bachelor's Degree,Education,71,63,42735,Some college,13874,0,0
18,Staford,Wein,sweinh@mayoclinic.com,Male,0,25,California,College Student (Non-Education Major),AI in Education,R2 Research University,3.65,0,0,Bachelor's Degree,Social Sciences,92,89,25367,Doctoral degree,6996,0,1
19,Haslett,Petrosian,hpetrosiani@mail.ru,Male,7,39,Texas,K-12 Classroom Teacher,Social-Emotional Learning (SEL),R1 Research University,3.53,7,3,Bachelor's Degree,Arts & Humanities,79,90,67527,Bachelor's degree,13561,0,0
20,Rex,Varnham,rvarnhamj@jigsy.com,Male,6,30,Texas,Preservice Teacher / Education Student,Arts & Music Education,Community College / 2-Year College,3.24,6,0,Bachelor's Degree,Education,54,71,25522,Master's degree,7113,0,0
21,Patrice,Zoephel,pzoephelk@yellowbook.com,Male,23,59,Michigan,Preservice Teacher / Education Student,Assessment & Data-Informed Instruction,Liberal Arts College,3.36,23,1,Bachelor's Degree,Social Sciences,75,69,24357,Doctoral degree,3198,0,2
22,Frederica,Fellgatt,ffellgattl@bbb.org,Male,12,43,California,College Student (Non-Education Major),AI in Education,Regional Public University,3.27,12,1,Bachelor's Degree,Other,35,62,34037,Bachelor's degree,4350,0,2
23,Floris,Bigadike,fbigadikem@ed.gov,Female,35,64,Texas,K-12 Classroom Teacher,AI in Education,Regional Public University,3.45,35,1,Master's Degree,Social Sciences,46,79,67886,High school or below,23556,0,2
24,Roch,Greet,rgreetn@dyndns.org,Male,1,27,Washington,School or District Leader,Edtech & Digital Learning,International Institution,3.15,1,1,Bachelor's Degree,Education,8,53,106639,High school or below,16720,0,1
