id,first_name,last_name,email,gender,experience_years,age,state,current_position,interest,university_quality,gpa,years_work_experience,years_education_experience,prior_degree_level,prior_degree_field,sat_percentile,gpa_percentile,individual_income_level,parental_education_level,disposable_income_for_university,international_candidate,number_of_dependents
0fd86a99-2505-425a-9fdb-e41b8259b67e,Gerald,Rogers,gerald.rogers@gmail.com,Female,9,32,SC,School or District Leader,Secondary Education,Regional Public University,3.62,9,6,Master's Degree,Education,81,81,106981,High school or below,30535,0,0
ede2b0f6-c132-410f-980c-bb2021c762a6,Dennis,Torres,dennis.torres@gmail.com,Female,10,53,VT,Teaching Assistant / Paraprofessional,Early Childhood Education,Private University (Nonselective),3.69,10,0,Other / International Equivalency,Business,56,76,36363,Bachelor's degree,6510,0,2
992e94a6-a7ee-4513-b89e-6d57b5318ebe,Alice,Carter,alice.carter@icloud.com,Non-binary,2,24,NE,K-12 Classroom Teacher,Curriculum & Instruction,Community College / 2-Year College,3.42,2,2,Master's Degree,Social Sciences,60,68,54656,Some college,6586,1,0
b7072665-b1be-465c-938a-cdca4be8cf6b,Jason,Price,jason.price@hotmail.com,Male,2,26,CA,Instructional Coach,Educational Leadership,R1 Research University,3.76,2,2,Bachelor's Degree,Other,87,87,67066,Some college,12236,0,0
044ea634-a34f-4716-9237-0296e40db5fb,Ethan,Torres,ethan.torres@gmail.com,Male,9,33,ID,Instructional Coach,Secondary Education,R1 Research University,3.02,9,7,Bachelor's Degree,Business,66,38,74837,Doctoral degree,16672,0,2
3948fc95-979a-47ef-aaec-379a20aa5ae5,Nicholas,Thomas,nicholas.thomas@icloud.com,Female,0,22,VA,College Student (Non-Education Major),Early Childhood Education,Regional Public University,3.19,0,0,Bachelor's Degree,Business,57,49,26487,Bachelor's degree,6978,0,0
18291a5c-dbb9-49a5-a271-0f8b6fb99197,Margaret,Cooper,margaret.cooper@outlook.com,Male,15,35,HI,Preservice Teacher / Education Student,Educational Leadership,R2 Research University,3.85,15,0,Associate Degree,Arts & Humanities,64,95,12756,Bachelor's degree,1408,0,1
7f0e4f44-b99b-4223-9517-dd0a3f3b9437,Alice,Perez,alice.perez@yahoo.com,Non-binary,8,36,MD,Other,Secondary Education,Community College / 2-Year College,3.82,8,8,Bachelor's Degree,Business,60,85,43590,Some college,9166,0,2
9204c8db-e317-466a-bdf1-1f0b8fc493ee,Kyle,Robinson,kyle.robinson@hotmail.com,Male,7,27,ME,School or District Leader,Curriculum & Instruction,Community College / 2-Year College,2.84,7,7,Bachelor's Degree,Health / Nursing,61,22,102540,High school or below,21134,0,2
f067c1bd-5441-4789-a527-699db48befe9,Laura,White,laura.white@hotmail.com,Female,2,29,MI,After-school / Enrichment Educator,Special Education,R1 Research University,3.74,2,2,Bachelor's Degree,Social Sciences,82,78,27645,High school or below,2965,0,1
00c76bdf-3480-4fa7-a680-6137a386c359,Jesse,Flores,jesse.flores@outlook.com,Non-binary,1,25,TN,After-school / Enrichment Educator,Early Childhood Education,International Institution,3.04,1,0,Other / International Equivalency,Education,70,49,37666,Bachelor's degree,3964,1,0
63d411a7-2ba2-47ed-beae-5a3acb4acd6c,Jose,White,jose.white@yahoo.com,Female,16,52,NY,School or District Leader,Educational Leadership,Regional Public University,3.61,16,5,Bachelor's Degree,Business,47,77,102211,Some college,15224,1,3
ff7ccf07-2ccb-4ad6-8087-3b5f08817bb6,Benjamin,Young,benjamin.young@yahoo.com,Female,1,22,MS,Instructional Coach,Educational Leadership,R1 Research University,3.56,1,1,Bachelor's Degree,Arts & Humanities,87,74,80254,Some college,19201,0,0
a91557ca-f55a-49ef-a147-887aa79feb5f,Edward,Cooper,edward.cooper@gmail.com,Male,1,23,OR,K-12 Classroom Teacher,Special Education,R2 Research University,3.2,1,1,Bachelor's Degree,Social Sciences,82,68,48336,Bachelor's degree,10549,0,0
38e18839-d9f2-4cdd-b5d3-325353440c65,Jesse,Myers,jesse.myers@yahoo.com,Male,6,29,HI,After-school / Enrichment Educator,Special Education,R2 Research University,3.75,6,3,Bachelor's Degree,Business,75,81,36372,High school or below,11713,1,0
2088a2d2-32b3-4922-8f3f-6da4ecea9c9c,Julia,Adams,julia.adams@yahoo.com,Female,0,24,NY,Teaching Assistant / Paraprofessional,Secondary Education,Liberal Arts College,3.71,0,0,Bachelor's Degree,Social Sciences,87,78,37864,Master's degree,10772,0,0
a8ff8228-6b03-4808-b522-66a7006b9566,Wayne,Ross,wayne.ross@outlook.com,Female,2,30,ID,Preservice Teacher / Education Student,Curriculum & Instruction,R1 Research University,3.44,2,1,Bachelor's Degree,Arts & Humanities,93,62,12058,Master's degree,4373,0,0
835d23e4-ef11-4f4d-a917-890cbbef8ccc,John,Nguyen,john.nguyen@outlook.com,Non-binary,23,51,VA,Preservice Teacher / Education Student,Secondary Education,Liberal Arts College,3.59,23,0,Bachelor's Degree,Social Sciences,80,81,17719,High school or below,4758,0,2
069baf05-46e7-43f7-a25f-f620b9653098,Christopher,Diaz,christopher.diaz@icloud.com,Male,2,27,WI,Other,Curriculum & Instruction,Regional Public University,3.35,2,1,Master's Degree,Business,52,63,46156,Master's degree,8034,1,0
f9f2b01d-41b1-4995-80be-bcba5d96f088,Diane,Reyes,diane.reyes@icloud.com,Female,12,54,NC,Teaching Assistant / Paraprofessional,Educational Leadership,R2 Research University,3.27,12,4,Bachelor's Degree,Health / Nursing,87,68,35020,High school or below,8431,0,2
b7bc6fd5-3703-4b96-beea-72090ecada00,Donald,Brooks,donald.brooks@outlook.com,Female,10,39,MS,Education Consultant,Curriculum & Instruction,International Institution,3.53,10,10,Associate Degree,Other,26,80,95742,Bachelor's degree,15858,0,0
ddd47f41-7a59-4d23-95d7-c3ddebb27199,Thomas,White,thomas.white@hotmail.com,Non-binary,2,24,ME,Teaching Assistant / Paraprofessional,Secondary Education,Regional Public University,3.18,2,2,Bachelor's Degree,Social Sciences,31,38,35288,High school or below,10866,1,0
f3f4b123-0357-4cb1-859c-acfb4362268d,Janice,Campbell,janice.campbell@icloud.com,Non-binary,13,40,IL,Preservice Teacher / Education Student,Special Education,Community College / 2-Year College,2.93,13,1,Master's Degree,Social Sciences,48,38,33677,Doctoral degree,8898,0,1
